id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kondisi_korban,jumlah_korban,satuan,tahun
56,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MENDERITA,0,JIWA,2012
57,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,HILANG,0,JIWA,2012
58,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MENINGGAL DUNIA,1,JIWA,2012
59,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LUKA-LUKA,11,JIWA,2012
60,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MENGUNGSI,0,JIWA,2012
61,32,JAWA BARAT,3213,KABUPATEN SUBANG,MENDERITA,0,JIWA,2012
62,32,JAWA BARAT,3213,KABUPATEN SUBANG,HILANG,0,JIWA,2012
63,32,JAWA BARAT,3213,KABUPATEN SUBANG,MENINGGAL DUNIA,0,JIWA,2012
64,32,JAWA BARAT,3213,KABUPATEN SUBANG,LUKA-LUKA,0,JIWA,2012
65,32,JAWA BARAT,3213,KABUPATEN SUBANG,MENGUNGSI,44,JIWA,2012
66,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MENDERITA,0,JIWA,2012
67,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,HILANG,0,JIWA,2012
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MENINGGAL DUNIA,0,JIWA,2012
69,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LUKA-LUKA,0,JIWA,2012
70,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MENGUNGSI,0,JIWA,2012
71,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MENDERITA,0,JIWA,2012
72,32,JAWA BARAT,3215,KABUPATEN KARAWANG,HILANG,0,JIWA,2012
73,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MENINGGAL DUNIA,0,JIWA,2012
74,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LUKA-LUKA,0,JIWA,2012
75,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MENGUNGSI,0,JIWA,2012
76,32,JAWA BARAT,3216,KABUPATEN BEKASI,MENDERITA,0,JIWA,2012
77,32,JAWA BARAT,3216,KABUPATEN BEKASI,HILANG,0,JIWA,2012
78,32,JAWA BARAT,3216,KABUPATEN BEKASI,MENINGGAL DUNIA,0,JIWA,2012
79,32,JAWA BARAT,3216,KABUPATEN BEKASI,LUKA-LUKA,0,JIWA,2012
80,32,JAWA BARAT,3216,KABUPATEN BEKASI,MENGUNGSI,0,JIWA,2012
81,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MENDERITA,25,JIWA,2012
82,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,HILANG,0,JIWA,2012
83,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MENINGGAL DUNIA,4,JIWA,2012
84,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LUKA-LUKA,1,JIWA,2012
85,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MENGUNGSI,139,JIWA,2012
86,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MENGUNGSI,0,JIWA,2012
87,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MENDERITA,0,JIWA,2012
88,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,HILANG,0,JIWA,2012
89,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MENINGGAL DUNIA,0,JIWA,2012
90,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LUKA-LUKA,0,JIWA,2012
91,32,JAWA BARAT,3271,KOTA BOGOR,MENDERITA,295,JIWA,2012
92,32,JAWA BARAT,3271,KOTA BOGOR,HILANG,0,JIWA,2012
93,32,JAWA BARAT,3271,KOTA BOGOR,MENINGGAL DUNIA,1,JIWA,2012
94,32,JAWA BARAT,3271,KOTA BOGOR,LUKA-LUKA,0,JIWA,2012
95,32,JAWA BARAT,3271,KOTA BOGOR,MENGUNGSI,0,JIWA,2012
96,32,JAWA BARAT,3272,KOTA SUKABUMI,MENDERITA,0,JIWA,2012
97,32,JAWA BARAT,3272,KOTA SUKABUMI,HILANG,0,JIWA,2012
98,32,JAWA BARAT,3272,KOTA SUKABUMI,MENINGGAL DUNIA,0,JIWA,2012
99,32,JAWA BARAT,3272,KOTA SUKABUMI,LUKA-LUKA,0,JIWA,2012
100,32,JAWA BARAT,3272,KOTA SUKABUMI,MENGUNGSI,0,JIWA,2012
101,32,JAWA BARAT,3273,KOTA BANDUNG,MENDERITA,0,JIWA,2012
102,32,JAWA BARAT,3273,KOTA BANDUNG,HILANG,0,JIWA,2012
103,32,JAWA BARAT,3273,KOTA BANDUNG,MENINGGAL DUNIA,0,JIWA,2012
104,32,JAWA BARAT,3273,KOTA BANDUNG,LUKA-LUKA,5,JIWA,2012
105,32,JAWA BARAT,3273,KOTA BANDUNG,MENGUNGSI,0,JIWA,2012
106,32,JAWA BARAT,3274,KOTA CIREBON,MENDERITA,0,JIWA,2012
107,32,JAWA BARAT,3274,KOTA CIREBON,HILANG,0,JIWA,2012
108,32,JAWA BARAT,3274,KOTA CIREBON,MENINGGAL DUNIA,0,JIWA,2012
109,32,JAWA BARAT,3274,KOTA CIREBON,LUKA-LUKA,0,JIWA,2012
110,32,JAWA BARAT,3274,KOTA CIREBON,MENGUNGSI,0,JIWA,2012
111,32,JAWA BARAT,3275,KOTA BEKASI,MENDERITA,0,JIWA,2012
112,32,JAWA BARAT,3275,KOTA BEKASI,HILANG,0,JIWA,2012
113,32,JAWA BARAT,3275,KOTA BEKASI,MENINGGAL DUNIA,0,JIWA,2012
114,32,JAWA BARAT,3275,KOTA BEKASI,LUKA-LUKA,0,JIWA,2012
115,32,JAWA BARAT,3275,KOTA BEKASI,MENGUNGSI,0,JIWA,2012
116,32,JAWA BARAT,3276,KOTA DEPOK,MENDERITA,0,JIWA,2012
117,32,JAWA BARAT,3276,KOTA DEPOK,HILANG,0,JIWA,2012
118,32,JAWA BARAT,3276,KOTA DEPOK,MENINGGAL DUNIA,0,JIWA,2012
119,32,JAWA BARAT,3276,KOTA DEPOK,LUKA-LUKA,0,JIWA,2012
120,32,JAWA BARAT,3276,KOTA DEPOK,MENGUNGSI,0,JIWA,2012
121,32,JAWA BARAT,3277,KOTA CIMAHI,MENDERITA,0,JIWA,2012
122,32,JAWA BARAT,3277,KOTA CIMAHI,HILANG,0,JIWA,2012
123,32,JAWA BARAT,3277,KOTA CIMAHI,MENINGGAL DUNIA,0,JIWA,2012
124,32,JAWA BARAT,3277,KOTA CIMAHI,LUKA-LUKA,0,JIWA,2012
125,32,JAWA BARAT,3277,KOTA CIMAHI,MENGUNGSI,0,JIWA,2012
126,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MENDERITA,0,JIWA,2012
127,32,JAWA BARAT,3278,KOTA TASIKMALAYA,HILANG,0,JIWA,2012
128,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MENINGGAL DUNIA,0,JIWA,2012
129,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LUKA-LUKA,0,JIWA,2012
130,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MENGUNGSI,0,JIWA,2012
131,32,JAWA BARAT,3279,KOTA BANJAR,MENDERITA,0,JIWA,2012
132,32,JAWA BARAT,3279,KOTA BANJAR,HILANG,0,JIWA,2012
133,32,JAWA BARAT,3279,KOTA BANJAR,MENINGGAL DUNIA,0,JIWA,2012
134,32,JAWA BARAT,3279,KOTA BANJAR,LUKA-LUKA,0,JIWA,2012
135,32,JAWA BARAT,3279,KOTA BANJAR,MENGUNGSI,0,JIWA,2012
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,MENDERITA,283,JIWA,2013
137,32,JAWA BARAT,3201,KABUPATEN BOGOR,HILANG,0,JIWA,2013
138,32,JAWA BARAT,3201,KABUPATEN BOGOR,MENINGGAL DUNIA,6,JIWA,2013
139,32,JAWA BARAT,3201,KABUPATEN BOGOR,LUKA-LUKA,10,JIWA,2013
140,32,JAWA BARAT,3201,KABUPATEN BOGOR,MENGUNGSI,36,JIWA,2013
141,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MENDERITA,3934,JIWA,2013
142,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,HILANG,0,JIWA,2013
143,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MENINGGAL DUNIA,9,JIWA,2013
144,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LUKA-LUKA,22,JIWA,2013
145,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MENGUNGSI,4,JIWA,2013
146,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MENDERITA,1873,JIWA,2013
147,32,JAWA BARAT,3203,KABUPATEN CIANJUR,HILANG,1,JIWA,2013
148,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MENINGGAL DUNIA,6,JIWA,2013
149,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LUKA-LUKA,10,JIWA,2013
150,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MENGUNGSI,751,JIWA,2013
151,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MENDERITA,40317,JIWA,2013
152,32,JAWA BARAT,3204,KABUPATEN BANDUNG,HILANG,0,JIWA,2013
153,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MENINGGAL DUNIA,2,JIWA,2013
154,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LUKA-LUKA,11,JIWA,2013
155,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MENGUNGSI,11225,JIWA,2013
156,32,JAWA BARAT,3205,KABUPATEN GARUT,MENDERITA,6874,JIWA,2013
157,32,JAWA BARAT,3205,KABUPATEN GARUT,HILANG,0,JIWA,2013
158,32,JAWA BARAT,3205,KABUPATEN GARUT,MENINGGAL DUNIA,7,JIWA,2013
159,32,JAWA BARAT,3205,KABUPATEN GARUT,LUKA-LUKA,2,JIWA,2013
160,32,JAWA BARAT,3205,KABUPATEN GARUT,MENGUNGSI,720,JIWA,2013
161,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MENDERITA,3555,JIWA,2013
162,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,HILANG,0,JIWA,2013
163,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MENINGGAL DUNIA,0,JIWA,2013
164,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LUKA-LUKA,3,JIWA,2013
165,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MENGUNGSI,451,JIWA,2013
166,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MENDERITA,4258,JIWA,2013
167,32,JAWA BARAT,3207,KABUPATEN CIAMIS,HILANG,0,JIWA,2013
168,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MENINGGAL DUNIA,1,JIWA,2013
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LUKA-LUKA,6,JIWA,2013
170,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MENGUNGSI,2024,JIWA,2013
171,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MENDERITA,123,JIWA,2013
172,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,HILANG,1,JIWA,2013
173,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MENINGGAL DUNIA,5,JIWA,2013
174,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LUKA-LUKA,0,JIWA,2013
175,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MENGUNGSI,37,JIWA,2013
176,32,JAWA BARAT,3209,KABUPATEN CIREBON,MENDERITA,0,JIWA,2013
177,32,JAWA BARAT,3209,KABUPATEN CIREBON,HILANG,0,JIWA,2013
178,32,JAWA BARAT,3209,KABUPATEN CIREBON,MENINGGAL DUNIA,0,JIWA,2013
179,32,JAWA BARAT,3209,KABUPATEN CIREBON,LUKA-LUKA,0,JIWA,2013
180,32,JAWA BARAT,3209,KABUPATEN CIREBON,MENGUNGSI,0,JIWA,2013
181,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MENDERITA,4,JIWA,2013
182,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,HILANG,0,JIWA,2013
183,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MENINGGAL DUNIA,3,JIWA,2013
184,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LUKA-LUKA,1,JIWA,2013
185,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MENGUNGSI,1990,JIWA,2013
186,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MENDERITA,0,JIWA,2013
187,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,HILANG,0,JIWA,2013
188,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MENINGGAL DUNIA,0,JIWA,2013
189,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LUKA-LUKA,0,JIWA,2013
190,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MENGUNGSI,0,JIWA,2013
191,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MENDERITA,0,JIWA,2013
192,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,HILANG,0,JIWA,2013
193,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MENINGGAL DUNIA,0,JIWA,2013
194,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LUKA-LUKA,1,JIWA,2013
195,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MENGUNGSI,0,JIWA,2013
196,32,JAWA BARAT,3213,KABUPATEN SUBANG,MENDERITA,26711,JIWA,2013
197,32,JAWA BARAT,3213,KABUPATEN SUBANG,HILANG,0,JIWA,2013
